study	cage	diet	mouse	colonytype	colony	timepoint	Species	Strain	isolation.source	body.part	country	date	plate	location_nooil	timeA_nooil	timeB_nooil	timeC_nooil	timeD_nooil	timeE_nooil	location_oil	timeA_oil	timeB_oil	timeC_oil	timeD_oil	timeE_oil	timeA	timeB	timeC	timeD	timeE	blank_nooil	blank_oil	ph	mouseweight	notes	Gavage	GavageGeneral
AP4	239557	LF	477	nonwhite	G	W10			mouse	SI	north america	10/7/16	plate1	G4	0.127	0.13	0.137	0.141	0.193	G10	0.17	0.131	0.135	0.133	0.131	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	A	W10			mouse	SI	north america	10/7/16	plate1	A6	0.116	0.145	0.261	0.43	0.949	A12	0.155	0.121	0.123	0.124	0.127	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	B	W10			mouse	SI	north america	10/7/16	plate1	B6	0.117	0.15	0.259	0.436	0.981	B12	0.182	0.128	0.131	0.138	0.145	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	C	W10			mouse	SI	north america	10/7/16	plate1	C6	0.119	0.155	0.29	0.544	1.025	C12	0.163	0.119	0.119	0.121	0.122	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	D	W10			mouse	SI	north america	10/7/16	plate1	D6	0.124	0.152	0.271	0.497	1.006	D12	0.185	0.126	0.127	0.131	0.132	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	E	W10			mouse	SI	north america	10/7/16	plate1	E6	0.126	0.141	0.203	0.307	0.839	E12	0.182	0.129	0.132	0.135	0.156	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	F	W10			mouse	SI	north america	10/7/16	plate1	F6	0.153	0.236	0.525	0.803	1.199	F12	0.202	0.139	0.142	0.144	0.151	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	G	W10			mouse	SI	north america	10/7/16	plate1	G6	0.125	0.168	0.34	0.639	1.107	G12	0.187	0.134	0.136	0.138	0.144	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	H	W10			mouse	SI	north america	10/7/16	plate1	H6	0.126	0.14	0.207	0.333	0.821	H12	0.227	0.142	0.142	0.146	0.163	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	A	W10			mouse	SI	north america	10/7/16	plate1	A3	0.12	0.117	0.12	0.125	0.158	A9	0.18	0.136	0.137	0.14	0.147	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	B	W10			mouse	SI	north america	10/7/16	plate1	B3	0.123	0.121	0.123	0.125	0.156	B9	0.182	0.134	0.138	0.138	0.138	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	C	W10			mouse	SI	north america	10/7/16	plate1	C3	0.122	0.124	0.129	0.135	0.168	C9	0.163	0.128	0.131	0.135	0.138	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	D	W10			mouse	SI	north america	10/7/16	plate1	D3	0.117	0.114	0.116	0.119	0.121	D9	0.195	0.134	0.134	0.138	0.143	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	E	W10			mouse	SI	north america	10/7/16	plate1	E3	0.125	0.124	0.127	0.123	0.131	E9	0.193	0.137	0.139	0.138	0.14	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	F	W10			mouse	SI	north america	10/7/16	plate1	F3	0.118	0.116	0.118	0.115	0.122	F9	0.206	0.141	0.14	0.141	0.146	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	G	W10			mouse	SI	north america	10/7/16	plate1	G3	0.13	0.132	0.141	0.142	0.211	G9	0.207	0.144	0.149	0.148	0.15	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	436	nonwhite	H	W10			mouse	SI	north america	10/7/16	plate1	H3	0.138	0.127	0.114	0.113	0.116	H9	0.213	0.144	0.148	0.15	0.157	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		18_2	oil
AP4	239565	HF	444	nonwhite	H	W10			mouse	SI	north america	10/7/16	plate1	H4	0.121	0.119	0.123	0.127	0.136	H10	0.174	0.132	0.132	0.131	0.133	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	A	W10			mouse	SI	north america	10/7/16	plate1	A5	0.126	0.127	0.13	0.135	0.171	A11	0.205	0.141	0.142	0.143	0.147	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	B	W10			mouse	SI	north america	10/7/16	plate1	B5	0.126	0.132	0.14	0.15	0.275	B11	0.129	0.127	0.134	0.143	0.238	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	C	W10			mouse	SI	north america	10/7/16	plate1	C5	0.126	0.127	0.139	0.147	0.228	C11	0.165	0.125	0.132	0.131	0.128	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	D	W10			mouse	SI	north america	10/7/16	plate1	D5	0.129	0.132	0.139	0.143	0.19	D11	0.13	0.128	0.138	0.14	0.19	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	E	W10			mouse	SI	north america	10/7/16	plate1	E5	0.126	0.128	0.133	0.132	0.155	E11	0.151	0.125	0.129	0.127	0.127	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	F	W10			mouse	SI	north america	10/7/16	plate1	F5	0.124	0.123	0.128	0.129	0.147	F11	0.215	0.137	0.144	0.145	0.147	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	G	W10			mouse	SI	north america	10/7/16	plate1	G5	0.127	0.128	0.135	0.136	0.17	G11	0.201	0.139	0.14	0.14	0.143	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239565	HF	444	nonwhite	H	W10			mouse	SI	north america	10/7/16	plate1	H5	0.123	0.126	0.133	0.138	0.186	H11	0.206	0.14	0.139	0.14	0.144	10:43	13:00	14:35	15:47	18:28	E1, H1	E7, H7	unknown	NA		NaCl	
AP4	239562	LF	459	nonwhite	A	W10			mouse	SI	north america	10/28/16	plate12	C2	0.09	0.11	0.268	0.596	0.86	C8	0.162	0.108	0.112	0.118	0.12	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		NaCl	
AP4	239566	HF	499	nonwhite	F	W10			mouse	SI	north america	10/28/16	plate12	F2	0.089	0.118	0.272	0.544	0.831	F8	0.172	0.12	0.124	0.129	0.134	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		NaCl	
AP4	239566	HF	499	nonwhite	G	W10			mouse	SI	north america	10/28/16	plate12	G2	0.092	0.126	0.352	0.707	0.942	G8	0.145	0.109	0.115	0.119	0.126	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		NaCl	
AP4	239567	LF	473	nonwhite	A	W10			mouse	SI	north america	10/28/16	plate12	D2	0.087	0.104	0.21	0.496	0.804	D8	0.17	0.116	0.127	0.141	0.165	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		NaCl	
AP4	239567	LF	488	nonwhite	C	W10			mouse	SI	north america	10/28/16	plate12	A2	0.093	0.121	0.34	0.681	0.923	A8	0.167	0.111	0.122	0.132	0.155	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		18_2	oil
AP4	239567	LF	488	nonwhite	A	W10			mouse	SI	north america	10/28/16	plate12	B2	0.094	0.116	0.307	0.68	0.925	B8	0.164	0.118	0.124	0.137	0.166	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		18_2	oil
AP4	239567	LF	488	nonwhite	B	W10			mouse	SI	north america	10/28/16	plate12	E2	0.092	0.108	0.198	0.447	0.746	E8	0.151	0.107	0.116	0.129	0.156	10:42	12:59	15:29	17:22	19:00	E1, H1	E7, H7	5.35	NA		18_2	oil
AP4	239560	LF	403	white	A	W10			mouse	SI	north america	10/10/16	plate2	A4	0.114	0.148	0.412	0.818	0.996	A10	0.215	0.143	0.147	0.154	0.163	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	B	W10			mouse	SI	north america	10/10/16	plate2	B4	0.117	0.157	0.427	0.905	1.135	B10	0.184	0.124	0.125	0.127	0.133	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	C	W10			mouse	SI	north america	10/10/16	plate2	C4	0.116	0.145	0.386	0.869	1.087	C10	0.203	0.144	0.15	0.156	0.161	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	D	W10			mouse	SI	north america	10/10/16	plate2	D4	0.113	0.147	0.425	0.99	1.18	D10	0.165	0.126	0.131	0.153	0.205	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	E	W10			mouse	SI	north america	10/10/16	plate2	E4	0.12	0.187	0.558	1.109	1.398	E10	0.164	0.13	0.133	0.142	0.173	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	F	W10			mouse	SI	north america	10/10/16	plate2	F4	0.115	0.148	0.468	0.984	1.149	F10	0.168	0.132	0.131	0.135	0.144	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	G	W10			mouse	SI	north america	10/10/16	plate2	G4	0.119	0.153	0.45	0.927	1.083	G10	0.158	0.129	0.13	0.138	0.148	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	403	white	H	W10			mouse	SI	north america	10/10/16	plate2	H4	0.118	0.152	0.397	0.821	1.011	H10	0.151	0.129	0.131	0.138	0.157	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239560	LF	470	white	A	W10			mouse	SI	north america	10/10/16	plate2	A5	0.108	0.131	0.326	0.783	0.99	A11	0.17	0.121	0.12	0.121	0.116	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	B	W10			mouse	SI	north america	10/10/16	plate2	B5	0.117	0.147	0.379	0.803	0.972	B11	0.172	0.125	0.125	0.126	0.128	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	C	W10			mouse	SI	north america	10/10/16	plate2	C5	0.114	0.15	0.4	0.861	1.075	C11	0.151	0.121	0.122	0.125	0.126	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	D	W10			mouse	SI	north america	10/10/16	plate2	D5	0.115	0.139	0.331	0.724	0.985	D11	0.168	0.124	0.145	0.232	0.46	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	E	W10			mouse	SI	north america	10/10/16	plate2	E5	0.122	0.198	0.591	1.174	1.457	E11	0.168	0.135	0.134	0.139	0.151	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	F	W10			mouse	SI	north america	10/10/16	plate2	F5	0.117	0.159	0.46	1.013	1.226	F11	0.166	0.131	0.133	0.136	0.139	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	G	W10			mouse	SI	north america	10/10/16	plate2	G5	0.113	0.117	0.118	0.118	0.127	G11	0.188	0.132	0.127	0.127	0.128	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	470	white	H	W10			mouse	SI	north america	10/10/16	plate2	H5	0.115	0.143	0.353	0.81	1.014	H11	0.116	0.139	0.35	0.731	0.851	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239561	HF	460	white	A	W10			mouse	SI	north america	10/10/16	plate2	A6	0.116	0.155	0.433	0.834	1.03	A12	0.182	0.134	0.136	0.144	0.146	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	B	W10			mouse	SI	north america	10/10/16	plate2	B6	0.119	0.14	0.323	0.797	1.036	B12	0.176	0.135	0.139	0.148	0.151	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	C	W10			mouse	SI	north america	10/10/16	plate2	C6	0.122	0.146	0.341	0.877	1.126	C12	0.173	0.134	0.138	0.143	0.147	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	D	W10			mouse	SI	north america	10/10/16	plate2	D6	0.12	0.161	0.475	0.857	1.061	D12	0.183	0.135	0.146	0.153	0.156	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	E	W10			mouse	SI	north america	10/10/16	plate2	E6	0.121	0.159	0.43	1.071	1.313	E12	0.185	0.142	0.146	0.152	0.155	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	F	W10			mouse	SI	north america	10/10/16	plate2	F6	0.115	0.164	0.504	0.97	1.171	F12	0.142	0.12	0.12	0.122	0.126	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	G	W10			mouse	SI	north america	10/10/16	plate2	G6	0.116	0.158	0.48	0.889	1.089	G12	0.161	0.138	0.141	0.149	0.15	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239561	HF	460	white	H	W10			mouse	SI	north america	10/10/16	plate2	H6	0.114	0.131	0.273	0.708	0.972	H12	0.149	0.126	0.131	0.142	0.178	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		NaCl	
AP4	239563	HF	410	nonwhite	A	W10			mouse	SI	north america	10/10/16	plate2	A2	0.116	0.12	0.14	0.211	0.335	A8	0.159	0.124	0.125	0.128	0.137	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	B	W10			mouse	SI	north america	10/10/16	plate2	B2	0.12	0.131	0.158	0.262	0.392	B8	0.208	0.144	0.142	0.145	0.147	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	C	W10			mouse	SI	north america	10/10/16	plate2	C2	0.127	0.143	0.176	0.296	0.456	C8	0.182	0.145	0.139	0.138	0.138	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	D	W10			mouse	SI	north america	10/10/16	plate2	D2	0.122	0.185	0.562	1.152	1.431	D8	0.178	0.137	0.141	0.16	0.21	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	E	W10			mouse	SI	north america	10/10/16	plate2	E2	0.118	0.138	0.221	0.534	0.897	E8	0.128	0.141	0.22	0.494	0.857	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	F	W10			mouse	SI	north america	10/10/16	plate2	F2	0.122	0.16	0.413	0.941	1.265	F8	0.176	0.141	0.144	0.148	0.157	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	G	W10			mouse	SI	north america	10/10/16	plate2	G2	0.118	0.127	0.144	0.197	0.326	G8	0.132	0.127	0.146	0.186	0.297	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	410	nonwhite	H	W10			mouse	SI	north america	10/10/16	plate2	H2	0.119	0.12	0.147	0.267	0.448	H8	0.187	0.14	0.144	0.149	0.152	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	A	W10			mouse	SI	north america	10/10/16	plate2	A3	0.113	0.151	0.478	0.888	1.052	A9	0.173	0.129	0.129	0.134	0.139	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	B	W10			mouse	SI	north america	10/10/16	plate2	B3	0.117	0.166	0.533	1	1.191	B9	0.127	0.15	0.38	0.742	0.869	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	C	W10			mouse	SI	north america	10/10/16	plate2	C3	0.118	0.162	0.528	1.128	1.313	C9	0.161	0.128	0.131	0.142	0.164	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	D	W10			mouse	SI	north america	10/10/16	plate2	D3	0.103	0.104	0.105	0.105	0.108	D9	0.112	0.106	0.107	0.108	0.109	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	E	W10			mouse	SI	north america	10/10/16	plate2	E3	0.118	0.155	0.462	0.98	1.203	E9	0.128	0.169	0.497	0.968	1.173	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	F	W10			mouse	SI	north america	10/10/16	plate2	F3	0.114	0.147	0.371	0.871	1.068	F9	0.136	0.138	0.266	0.677	0.934	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	G	W10			mouse	SI	north america	10/10/16	plate2	G3	0.114	0.152	0.409	0.942	1.106	G9	0.156	0.127	0.128	0.133	0.148	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239563	HF	490	white	H	W10			mouse	SI	north america	10/10/16	plate2	H3	0.123	0.167	0.472	1.129	1.36	H9	0.126	0.125	0.219	0.582	0.79	10:18	12:37	14:38	16:48	18:19	E1, G1	E7, G7	unknown	NA		18_2	oil
AP4	239560	LF	403	white	A	W10			mouse	SI	north america	10/11/16	plate2recheck	A4	0.117	0.117	0.227	0.446	0.54	A10	0.175	0.117	0.118	0.12	0.122	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	B	W10			mouse	SI	north america	10/11/16	plate2recheck	B4	0.122	0.118	0.239	0.529	0.67	B10	0.188	0.124	0.125	0.122	0.124	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	C	W10			mouse	SI	north america	10/11/16	plate2recheck	C4	0.117	0.141	0.483	0.97	1.136	C10	0.201	0.134	0.139	0.135	0.136	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	D	W10			mouse	SI	north america	10/11/16	plate2recheck	D4	0.121	0.139	0.352	0.47	0.532	D10	0.194	0.136	0.139	0.136	0.137	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	E	W10			mouse	SI	north america	10/11/16	plate2recheck	E4	0.129	0.184	0.596	1.174	1.389	E10	0.18	0.129	0.133	0.133	0.131	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	F	W10			mouse	SI	north america	10/11/16	plate2recheck	F4	0.124	0.186	0.694	0.946	1.039	F10	0.179	0.128	0.133	0.13	0.13	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	G	W10			mouse	SI	north america	10/11/16	plate2recheck	G4	0.123	0.128	0.294	0.603	0.677	G10	0.181	0.12	0.117	0.117	0.122	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	403	white	H	W10			mouse	SI	north america	10/11/16	plate2recheck	H4	0.114	0.114	0.213	0.51	0.617	H10	0.173	0.12	0.129	0.124	0.124	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	NaCl	
AP4	239560	LF	470	white	A	W10			mouse	SI	north america	10/11/16	plate2recheck	A5	0.114	0.119	0.204	0.445	0.568	A11	0.183	0.132	0.136	0.13	0.138	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
AP4	239560	LF	470	white	B	W10			mouse	SI	north america	10/11/16	plate2recheck	B5	0.118	0.127	0.308	0.606	0.71	B11	0.168	0.115	0.115	0.109	0.112	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
AP4	239560	LF	470	white	C	W10			mouse	SI	north america	10/11/16	plate2recheck	C5	0.141	0.216	0.599	0.871	0.99	C11	0.177	0.12	0.123	0.118	0.119	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
AP4	239560	LF	470	white	D	W10			mouse	SI	north america	10/11/16	plate2recheck	D5	0.127	0.145	0.38	0.764	0.866	D11	0.182	0.123	0.125	0.121	0.121	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
AP4	239560	LF	470	white	E	W10			mouse	SI	north america	10/11/16	plate2recheck	E5	0.131	0.168	0.471	1.111	1.375	E11	0.134	0.144	0.347	0.868	1.15	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
AP4	239560	LF	470	white	F	W10			mouse	SI	north america	10/11/16	plate2recheck	F5	0.135	0.128	0.29	0.538	0.627	F11	0.196	0.134	0.139	0.139	0.141	10:35	2:56	15:19	17:36	18:59	E1, G1	E7, G7	unknown	NA	plate was passaged	18_2	oil
